20220129T053049_20220129T053901_T43RFM_ndvi,20220129T053049_20220129T053901_T43RFN_ndvi,20220129T053049_20220129T053901_T43RGM_ndvi,20220129T053049_20220129T053901_T43RGN_ndvi,20220208T052959_20220208T053055_T43RFM_ndvi,20220208T052959_20220208T053055_T43RFN_ndvi,20220208T052959_20220208T053055_T43RGM_ndvi,20220208T052959_20220208T053055_T43RGN_ndvi,20220213T052931_20220213T052930_T43RFM_ndvi,20220213T052931_20220213T052930_T43RFN_ndvi,20220213T052931_20220213T052930_T43RGM_ndvi,20220213T052931_20220213T052930_T43RGN_ndvi,20220218T052849_20220218T053644_T43RFM_ndvi,20220218T052849_20220218T053644_T43RFN_ndvi,20220218T052849_20220218T053644_T43RGM_ndvi,20220218T052849_20220218T053644_T43RGN_ndvi,20220228T052749_20220228T054031_T43RFM_ndvi,20220228T052749_20220228T054031_T43RFN_ndvi,20220228T052749_20220228T054031_T43RGM_ndvi,20220228T052749_20220228T054031_T43RGN_ndvi,20220305T052721_20220305T054013_T43RFM_ndvi,20220305T052721_20220305T054013_T43RFN_ndvi,20220305T052721_20220305T054013_T43RGM_ndvi,20220305T052721_20220305T054013_T43RGN_ndvi,20220310T052649_20220310T053819_T43RFM_ndvi,20220310T052649_20220310T053819_T43RFN_ndvi,20220315T052651_20220315T053616_T43RFM_ndvi,20220315T052651_20220315T053616_T43RFN_ndvi,20220315T052651_20220315T053616_T43RGM_ndvi,20220315T052651_20220315T053616_T43RGN_ndvi,20220320T052649_20220320T053950_T43RFM_ndvi,20220320T052649_20220320T053950_T43RFN_ndvi,20220320T052649_20220320T053950_T43RGM_ndvi,20220320T052649_20220320T053950_T43RGN_ndvi,20220325T052651_20220325T053632_T43RFM_ndvi,20220325T052651_20220325T053632_T43RFN_ndvi,20220325T052651_20220325T053632_T43RGM_ndvi,20220325T052651_20220325T053632_T43RGN_ndvi,20220330T052639_20220330T053927_T43RFM_ndvi,20220330T052639_20220330T053927_T43RFN_ndvi,20220330T052639_20220330T053927_T43RGM_ndvi,20220330T052639_20220330T053927_T43RGN_ndvi,20220404T052651_20220404T053845_T43RFM_ndvi,20220404T052651_20220404T053845_T43RFN_ndvi,20220404T052651_20220404T053845_T43RGM_ndvi,20220404T052651_20220404T053845_T43RGN_ndvi,20220409T052639_20220409T054032_T43RFM_ndvi,20220409T052639_20220409T054032_T43RFN_ndvi,20220409T052639_20220409T054032_T43RGM_ndvi,20220414T052651_20220414T053847_T43RFM_ndvi,20220414T052651_20220414T053847_T43RFN_ndvi,20220414T052651_20220414T053847_T43RGM_ndvi,20220414T052651_20220414T053847_T43RGN_ndvi,20220419T052639_20220419T053615_T43RFM_ndvi,20220419T052639_20220419T053615_T43RFN_ndvi,20220419T052639_20220419T053615_T43RGM_ndvi,20220419T052639_20220419T053615_T43RGN_ndvi,20220424T052651_20220424T053328_T43RFM_ndvi,20220424T052651_20220424T053328_T43RFN_ndvi,20220424T052651_20220424T053328_T43RGM_ndvi,20220424T052651_20220424T053328_T43RGN_ndvi,dtname,State_LGD,Dist_LGD,system:index,stname
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Khagaria,10.0,202.0,00000000000000000073,BIHAR
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bhojpur,10.0,193.0,00000000000000000074,BIHAR
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Buxar,10.0,194.0,00000000000000000075,BIHAR
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Darbhanga,10.0,195.0,00000000000000000076,BIHAR
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saharsa,10.0,216.0,00000000000000000077,BIHAR
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kaimur (Bhabua),10.0,200.0,00000000000000000078,BIHAR
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rohtas,10.0,215.0,00000000000000000079,BIHAR
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jamui,10.0,198.0,0000000000000000007a,BIHAR
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Banka,10.0,190.0,0000000000000000007b,BIHAR
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nawada,10.0,210.0,0000000000000000007c,BIHAR
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gaya,10.0,196.0,0000000000000000007d,BIHAR
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Munger,10.0,207.0,0000000000000000007e,BIHAR
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vaishali,10.0,224.0,0000000000000000007f,BIHAR
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Begusarai,10.0,191.0,00000000000000000080,BIHAR
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bhagalpur,10.0,192.0,00000000000000000081,BIHAR
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lakhisarai,10.0,204.0,00000000000000000082,BIHAR
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sheikhpura,10.0,219.0,00000000000000000083,BIHAR
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arwal,10.0,611.0,00000000000000000084,BIHAR
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jehanabad,10.0,199.0,00000000000000000085,BIHAR
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nalanda,10.0,209.0,00000000000000000086,BIHAR
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Patna,10.0,212.0,00000000000000000087,BIHAR
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saran,10.0,218.0,00000000000000000088,BIHAR
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Siwan,10.0,222.0,00000000000000000089,BIHAR
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muzaffarpur,10.0,208.0,0000000000000000008a,BIHAR
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Madhepura,10.0,205.0,0000000000000000008b,BIHAR
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Araria,10.0,188.0,0000000000000000008c,BIHAR
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Supaul,10.0,223.0,0000000000000000008d,BIHAR
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Madhubani,10.0,206.0,0000000000000000008e,BIHAR
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Purnia,10.0,214.0,0000000000000000008f,BIHAR
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kishanganj,10.0,203.0,00000000000000000090,BIHAR
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aurangabad,10.0,189.0,00000000000000000091,BIHAR
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chandigarh,4.0,44.0,00000000000000000092,CHANDIGARH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mahasamund,22.0,385.0,00000000000000000093,CHHATTISGARH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kanker,22.0,381.0,00000000000000000094,CHHATTISGARH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Narayanpur,22.0,637.0,00000000000000000095,CHHATTISGARH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dantewada,22.0,376.0,00000000000000000096,CHHATTISGARH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bastar,22.0,374.0,00000000000000000097,CHHATTISGARH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kondagaon,22.0,643.0,00000000000000000098,CHHATTISGARH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gariyaband,22.0,645.0,00000000000000000099,CHHATTISGARH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Raipur,22.0,387.0,0000000000000000009a,CHHATTISGARH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Durg,22.0,378.0,0000000000000000009b,CHHATTISGARH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dhamtari,22.0,377.0,0000000000000000009c,CHHATTISGARH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Balod,22.0,646.0,0000000000000000009d,CHHATTISGARH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Korea,22.0,384.0,0000000000000000009e,CHHATTISGARH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jashpur,22.0,380.0,0000000000000000009f,CHHATTISGARH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Korba,22.0,383.0,000000000000000000a0,CHHATTISGARH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kabirdham,22.0,382.0,000000000000000000a1,CHHATTISGARH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Janjgir - Champa,22.0,379.0,000000000000000000a2,CHHATTISGARH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bemetara,22.0,650.0,000000000000000000a3,CHHATTISGARH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rajnandgaon,22.0,388.0,000000000000000000a4,CHHATTISGARH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Surajpur,22.0,648.0,000000000000000000a5,CHHATTISGARH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Baloda Bazar,22.0,644.0,000000000000000000a6,CHHATTISGARH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mungeli,22.0,647.0,000000000000000000a7,CHHATTISGARH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Surguja,22.0,389.0,000000000000000000a8,CHHATTISGARH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Balrampur,22.0,649.0,000000000000000000a9,CHHATTISGARH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bijapur,22.0,636.0,000000000000000000aa,CHHATTISGARH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Raigarh,22.0,386.0,000000000000000000ab,CHHATTISGARH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bilaspur,22.0,375.0,000000000000000000ac,CHHATTISGARH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sukma,22.0,642.0,000000000000000000ad,CHHATTISGARH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dadra & Nagar Haveli,38.0,465.0,000000000000000000ae,DADRA & NAGAR HAVELI
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Daman,38.0,463.0,000000000000000000af,DAMAN & DIU
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diu,38.0,464.0,000000000000000000b0,DAMAN & DIU
0.21422155972127646,0.24661443386601414,0.19167032525497757,0.25256567376039396,0.14576328541006475,0.18186698540387172,0.12911416614183496,0.18762713474886955,0.22012889817550496,0.2587576760358489,0.19126726241478306,0.2512790571701789,0.22448886780580046,0.26435413560370186,0.2015860174500118,0.265056462607295,0.2498977103722319,0.2925385292316908,0.22978521874082672,0.29071487907492505,0.2374507660993925,0.2792541647823053,0.21859379814901564,0.2767771818928251,0.17836283805586978,0.2063522183809323,0.18673106106947057,0.22284745853090845,0.17182359064042974,0.21715630244174006,0.17859215526855948,0.20969378577219555,0.1630609203467832,0.19736331709871222,0.1700712753543931,0.19234445821710242,0.16550952553240525,0.19037402783129778,0.15020646052988024,0.16360607463257343,0.14673611401855693,0.16099883044834307,0.14019042995233114,0.143119493707207,0.14103812311981279,0.14433026886215408,0.12491620888914755,0.12564093477980778,0.1258756449514766,0.1118455481762091,0.11200988483893197,0.1111034929091646,0.11318422611035274,0.10766929701832484,0.10605343426191029,0.10856276862111504,0.10959652867268015,0.12251562100660215,0.11960378460466,0.12449806249522918,0.1240442873780683,North,7.0,80.0,000000000000000000b1,DELHI
,,0.09770566553120391,,,,0.059069318533748666,,,,0.10220637139919667,,,,0.09904800920561613,,,,0.1330212209676847,,,,0.1287578941418811,,,,,,0.0974227071761384,,,,0.10153089161386865,,,,0.12169070081478772,,,,0.11605446865002723,,,,0.12176035166009218,,,,0.11175643178587868,,,0.09144311825356148,,,,0.0959283907017655,,,,0.10782766900433145,,North East,7.0,81.0,000000000000000000b2,DELHI
0.09971389182596818,,0.08811980423237768,,0.05832105247199998,,0.04683866824355395,,0.10159598017939292,,0.08804426007578958,,0.09880068295475535,,0.08225048929958147,,0.12695389592822082,,0.11266030773442737,,0.11657668121662497,,0.10368788000439239,,0.08812007866814625,,0.09542969109114566,,0.08161636577185301,,0.10142096347113694,,0.09255028138832476,,0.10846696938213962,,0.09657801385538672,,0.11218510011389024,,0.10214694353883944,,0.11455705456159164,,0.10865522365678572,,0.10581428088508094,,0.10107716034859135,0.0952756368094067,,0.08923252781690268,,0.09443327136913933,,0.08975106525070599,,0.11204686955589697,,0.10522730507215544,,West,7.0,85.0,000000000000000000b3,DELHI
,,0.09672436871872685,,,,0.063801059398303,,,,0.09812730408714367,,,,0.10023134597211314,,,,0.13120800742965524,,,,0.1261300774626334,,,,,,0.09654059599440842,,,,0.10233547289360354,,,,0.11759096208299023,,,,0.11941607183079218,,,,0.12561858580026905,,,,0.11814790981973419,,,0.0992736483603725,,,,0.10319036381477714,,,,0.11317620535304872,,East,7.0,78.0,000000000000000000b4,DELHI
0.2598011250664375,,0.11758395761824338,,0.18343475379141846,,0.07216937115180795,,0.24360790653487202,,0.11977312933208736,,0.23192365374605992,,0.11132275368196358,,0.23801000000531308,,0.1383385082398493,,0.21858743665411506,,0.13209132236559504,,0.1520102547900996,,0.17489132792085424,,0.11392092717039679,,0.15808490143925888,,0.10948480536443704,,0.1508452988630434,,0.12054975251748952,,0.14515824812770162,,0.1280474248368048,,0.13484190036813665,,0.12838154635252103,,0.12640714863576522,,0.12524063058562052,0.11285983840386729,,0.11203435763362474,,0.10783842194356298,,0.10995326876969698,,0.12133449854652519,,0.12435813380984749,,South West,7.0,84.0,000000000000000000b5,DELHI
,,0.12084889925308888,,,,0.0752036175208383,,,,0.12452573737140588,,,,0.12301618300798646,,,,0.15870790147102862,,,,0.15129627355046005,,,,,,0.11711061483730494,,,,0.11869196635217524,,,,0.13800226824245845,,,,0.1345524231085237,,,,0.14146232268021658,,,,0.13239674252052866,,,0.11209868595040269,,,,0.11657559054897554,,,,0.12945042074987637,,Central,7.0,77.0,000000000000000000b6,DELHI
0.1340279382900977,,0.15177404529526778,,0.08663333626549806,,0.09752462111031628,,0.1372535878442901,,0.15037621102229215,,0.1286654023516086,,0.1428401587320188,,0.16659078127337568,,0.18323015106180138,,0.16202068634517736,,0.1801349974614645,,0.12469334464098732,,0.1444522767012118,,0.16066314423260802,,0.1395820294958003,,0.16091278836903347,,0.14878126905743552,,0.1683870811073179,,0.15514628863498708,,0.17788920753758042,,0.15658701226633084,,0.17972945929079026,,0.15209852656468936,,0.17583957021947336,0.13340096700764825,,0.15382528271720608,,0.13195855953182004,,0.15499279724213866,,0.14477893902970818,,0.16878391948437085,,New Delhi,7.0,79.0,000000000000000000b7,DELHI
0.16929321814842274,,0.1715813442266082,,0.11280348051251829,,0.11534259010477062,,0.16418922941492878,,0.167933031099365,,0.1532895325820718,,0.1566897460030308,,0.20902933433168702,,0.20402516279765684,,0.21813860947925062,,0.20662207223796558,,0.19956582079627533,,0.21300757759707883,,0.19279525883956578,,0.20974498900238198,,0.1945126989621823,,0.21813921263473904,,0.20533924645589627,,0.2104151278413925,,0.20557052910091939,,0.21605673960357227,,0.21190749159412492,,0.20364811637528699,,0.204806544958331,0.17607007283868759,,0.1798891957453097,,0.17208854603251553,,0.17698360623645382,,0.17930181074513604,,0.1862836626355828,,South,7.0,83.0,000000000000000000b8,DELHI
,,0.05432438898743198,,,,0.02449503044939084,,,,0.05836266293827627,,,,0.05079772175829068,,,,0.07967062098146362,,,,0.0731848700596863,,,,,,0.044784936212382984,,,,0.06040026865043503,,,,0.06938940917755591,,,,0.06876126369535074,,,,0.0811932976297697,,,,0.07328246591953712,,,0.05704698407864579,,,,0.06234021105845288,,,,0.07201703673721227,,Shahdara,7.0,671.0,000000000000000000b9,DELHI
,,0.11486164683133875,,,,0.06960257696244747,,,,0.11259054451305316,,,,0.1095738301292605,,,,0.14769091329411596,,,,0.1442261938536272,,,,,,0.12371068304025724,,,,0.12257577739510891,,,,0.1350586161635246,,,,0.13763570489395507,,,,0.1451453639474606,,,,0.14218236031965212,,,0.12144692776748894,,,,0.12486318609176811,,,,0.13639559950517405,,South East,7.0,670.0,000000000000000000ba,DELHI
0.18884612958493485,,0.08308466189292903,,0.12836197776248665,,0.045062500640463084,,0.18857346600853547,,0.08602732165354667,,0.1895662366608679,,0.08304563721520113,,0.2156820905695972,,0.10956856844805267,,0.19924257818491686,,0.1019339371033958,,0.1420863962100784,,0.15125388378324267,,0.07640836150891431,,0.1404898052030466,,0.08865085028427652,,0.1377177297446644,,0.0981229585643054,,0.1251832082262545,,0.10044591620029426,,0.1211957289014037,,0.10935060881951286,,0.10833257359113296,,0.10038816822884143,0.09750944995090159,,0.0897687996366795,,0.09461393834753054,,0.09017177349105443,,0.10830920650455104,,0.10599645088435782,,North West,7.0,82.0,000000000000000000bb,DELHI
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,North Goa,30.0,551.0,000000000000000000bc,GOA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South Goa,30.0,552.0,000000000000000000bd,GOA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valsad,24.0,462.0,000000000000000000be,GUJARAT
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Amreli,24.0,439.0,000000000000000000bf,GUJARAT
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dang,24.0,444.0,000000000000000000c0,GUJARAT
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Banas Kantha,24.0,441.0,000000000000000000c1,GUJARAT
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Patan,24.0,455.0,000000000000000000c2,GUJARAT
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mahesana,24.0,451.0,000000000000000000c3,GUJARAT
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gandhinagar,24.0,446.0,000000000000000000c4,GUJARAT
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ahmadabad,24.0,438.0,000000000000000000c5,GUJARAT
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Panch Mahals,24.0,454.0,000000000000000000c6,GUJARAT
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dohad,24.0,445.0,000000000000000000c7,GUJARAT
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vadodara,24.0,461.0,000000000000000000c8,GUJARAT
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bharuch,24.0,442.0,000000000000000000c9,GUJARAT
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Porbandar,24.0,456.0,000000000000000000ca,GUJARAT
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Narmada,24.0,452.0,000000000000000000cb,GUJARAT
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Surat,24.0,459.0,000000000000000000cc,GUJARAT
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tapi,24.0,641.0,000000000000000000cd,GUJARAT
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arvalli,24.0,672.0,000000000000000000ce,GUJARAT
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Botad,24.0,676.0,000000000000000000cf,GUJARAT
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chhotaudepur,24.0,668.0,000000000000000000d0,GUJARAT
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mahisagar,24.0,669.0,000000000000000000d1,GUJARAT
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gir Somnath,24.0,675.0,000000000000000000d2,GUJARAT
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sabar Kantha,24.0,458.0,000000000000000000d3,GUJARAT
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kachchh,24.0,449.0,000000000000000000d4,GUJARAT
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Surendranagar,24.0,460.0,000000000000000000d5,GUJARAT
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rajkot,24.0,457.0,000000000000000000d6,GUJARAT
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kheda,24.0,450.0,000000000000000000d7,GUJARAT
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anand,24.0,440.0,000000000000000000d8,GUJARAT
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bhavnagar,24.0,443.0,000000000000000000d9,GUJARAT
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Junagadh,24.0,448.0,000000000000000000da,GUJARAT
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jamnagar,24.0,447.0,000000000000000000db,GUJARAT
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Devbhumi Dwarka,24.0,674.0,000000000000000000dc,GUJARAT
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Morbi,24.0,673.0,000000000000000000dd,GUJARAT
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Navsari,24.0,453.0,000000000000000000de,GUJARAT
